run_date,prediction_date,ticker,rank_bucket,agreement_status,suggested_action,reason,current_price,ensemble_score,ensemble_rank,ensemble_percentile,model_count,top_decile_model_count,top_5pct_model_count,best_model_score,best_model_percentile
2026-05-08T20:27:33Z,2026-05-07,NFLX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,88.25,0.5401163498560587,449,9.405111018014244,3,1,1,0.6048151254653931,2.0946795140343526
2026-05-08T20:27:33Z,2026-05-07,FGNX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,6.3,0.5400009055932363,450,9.426057813154587,3,1,0,0.6149988770484924,9.991621281943862
2026-05-08T20:27:33Z,2026-05-07,HLLY,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.53,0.5399308204650879,451,9.44700460829493,3,1,1,0.6952997446060181,1.0892333472978635
2026-05-08T20:27:33Z,2026-05-07,PBM,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,6.02,0.5398913820584615,452,9.467951403435274,3,1,1,0.5947114825248718,1.906158357771261
2026-05-08T20:27:33Z,2026-05-07,CCCC,TOP_DECILE,WEAK (0/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.98,0.5398868024349213,453,9.488898198575617,3,0,0,0.6155741810798645,11.185588604943444
2026-05-08T20:27:33Z,2026-05-07,ONDS,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,8.89,0.5397373636563619,454,9.509844993715962,3,1,0,0.6220683455467224,9.803100125680771
2026-05-08T20:27:33Z,2026-05-07,PCT,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,8.94,0.5395201543966929,455,9.530791788856305,3,1,0,0.6457103490829468,5.488060326770004
2026-05-08T20:27:33Z,2026-05-07,IHRT,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.67,0.5395053426424662,456,9.551738583996649,3,1,0,0.638144850730896,6.849602010892333
2026-05-08T20:27:33Z,2026-05-07,AKBA,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.18,0.5394841134548187,457,9.572685379136992,3,1,1,0.6818161010742188,1.9899455383326352
2026-05-08T20:27:33Z,2026-05-07,FNUC,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.11,0.5393682718276978,458,9.593632174277335,3,1,0,0.6411726474761963,6.807708420611647
2026-05-08T20:27:33Z,2026-05-07,LEE,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,8.0,0.5391678909460703,459,9.614578969417678,3,1,0,0.6319206357002258,8.651026392961876
2026-05-08T20:27:33Z,2026-05-07,ZDAI,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.2,0.538968950510025,460,9.635525764558023,3,1,0,0.6459401845932007,5.40427314620863
2026-05-08T20:27:33Z,2026-05-07,SDA,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.07,0.538966049750646,461,9.656472559698367,3,1,1,0.700889527797699,0.9007121910347716
2026-05-08T20:27:33Z,2026-05-07,FCEL,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,12.28,0.5389635761578878,462,9.67741935483871,3,1,0,0.6070566177368164,6.9752827817343945
2026-05-08T20:27:33Z,2026-05-07,GRAN,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,1.01,0.5388761858145396,463,9.698366149979053,3,2,0,0.6487152576446533,5.152911604524507
2026-05-08T20:27:33Z,2026-05-07,FTCI,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,4.27,0.5388388534386953,464,9.719312945119396,3,1,0,0.6000782251358032,7.331378299120234
2026-05-08T20:27:33Z,2026-05-07,FRMM,TOP_DECILE,VERY STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,4.78,0.5388016998767853,465,9.74025974025974,3,2,2,0.6637714505195618,3.812316715542522
2026-05-08T20:27:33Z,2026-05-07,IPGP,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,101.53,0.5386821826299032,466,9.761206535400083,3,1,1,0.6565780639648438,4.231252618349393
2026-05-08T20:27:33Z,2026-05-07,NAMM,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.74,0.5386716425418854,467,9.782153330540428,3,1,1,0.6565166711807251,4.27314620863008
2026-05-08T20:27:33Z,2026-05-07,VG,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,11.69,0.5385347108046213,468,9.803100125680771,3,1,1,0.726786196231842,0.2304147465437788
2026-05-08T20:27:33Z,2026-05-07,TROX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,8.42,0.5384319921334585,469,9.824046920821115,3,1,1,0.6540091037750244,4.524507750314202
2026-05-08T20:27:33Z,2026-05-07,BLND,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.62,0.5384150644143423,470,9.844993715961458,3,1,1,0.662249743938446,3.9589442815249267
2026-05-08T20:27:33Z,2026-05-07,OPTU,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.18,0.5383692880471548,471,9.865940511101801,3,1,1,0.6720474362373352,2.702136573104315
2026-05-08T20:27:33Z,2026-05-07,LPTH,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,12.03,0.53836922844251,472,9.886887306242144,3,1,0,0.6308738589286804,8.923334729786342
2026-05-08T20:27:33Z,2026-05-07,BMBL,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,3.46,0.5382247765858968,473,9.90783410138249,3,1,0,0.6330999135971069,8.273984080435694
2026-05-08T20:27:33Z,2026-05-07,CVX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,182.5,0.538103719552358,474,9.928780896522833,3,1,1,0.574381947517395,2.0527859237536656
2026-05-08T20:27:33Z,2026-05-07,ZIP,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,3.1,0.5379940470059713,475,9.949727691663176,3,2,0,0.627423882484436,8.420611646418099
2026-05-08T20:27:33Z,2026-05-07,ACVA,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,6.5,0.5379123489061991,476,9.970674486803519,3,1,0,0.6315321922302246,8.755760368663594
2026-05-08T20:27:33Z,2026-05-07,YI,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,5.58,0.5379054347674052,477,9.991621281943862,3,2,0,0.650542676448822,5.006284038542103
